 ,Area,Mean,Min,Max
1,52.246,53.388,0,229
2,3.913,62.018,4,169
3,58.263,44.762,0,181
4,82.189,76.924,14,210
5,44.713,61.477,1,180
6,56.017,60.919,2,235
7,45.680,56.146,0,169
8,69.959,52.476,0,195
9,79.832,61.351,6,239
10,77.235,74.493,21,187
11,79.995,75.695,21,187
12,99.481,94.055,21,215
13,99.481,93.851,21,215
14,74.331,78.670,22,216
15,55.596,61.711,4,168
16,73.047,69.103,11,213
