 ,Area,Mean,Min,Max
1,21.906,68.066,8,203
2,33.948,65.039,13,214
3,92.927,77.576,17,243
4,37.272,65.588,7,233
5,11.262,68.723,0,223
6,85.394,70.870,15,208
7,27.852,78.581,27,212
8,63.540,60.732,3,255
9,67.562,80.983,18,219
10,18.530,63.508,18,183
11,0.956,71.564,33,154
12,36.459,63.948,13,189
13,36.139,63.651,13,189
14,12.182,95.050,41,174
15,92.070,64.903,3,228
16,57.972,67.777,11,198
17,62.153,69.820,11,223
18,92.295,71.713,5,200
19,58.455,62.624,18,179
20,2.895,81.682,44,158
21,60.268,79.497,26,254
22,70.875,62.155,9,246
23,96.044,70.460,16,214
24,65.846,59.536,11,236
25,85.571,74.178,19,251
26,66.453,69.787,18,235
27,70.800,56.594,9,252
28,85.197,67.389,15,235
29,84.321,64.901,7,218
30,68.571,68.476,13,232
31,107.028,65.174,14,238
32,59.332,64.485,8,218
33,63.070,60.550,15,224
34,93.190,81.358,8,198
